geolocation_key,zip_code_prefix,latitude,longitude,city,state
341,04387,-23.661169,-46.653646,sao paulo,SP
342,01333,-23.568314,-46.646073,sao paulo,SP
343,04289,-23.604541,-46.615756,sao paulo,SP
344,01416,-23.561563,-46.669083,sao paulo,SP
345,03372,-23.568546,-46.555095,sao paulo,SP
346,04938,-23.687873,-46.758356,sao paulo,SP
347,03816,-23.487756,-46.486604,sao paulo,SP
348,02028,-23.508733,-46.617558,sao paulo,SP
349,01231,-23.538408,-46.660025,sao paulo,SP
350,02846,-23.461219,-46.698290,sao paulo,SP
351,02535,-23.499451,-46.645921,sao paulo,SP
352,01545,-23.581846,-46.617246,sao paulo,SP
353,01258,-23.542527,-46.686576,sao paulo,SP
354,03820,-23.493312,-46.498832,sao paulo,SP
355,04615,-23.614696,-46.677650,são paulo,SP
356,04548,-23.602748,-46.675545,sao paulo,SP
357,03141,-23.588454,-46.572760,sao paulo,SP
358,04218,-23.600462,-46.596863,sao paulo,SP
359,01253,-23.543144,-46.680568,sao paulo,SP
360,04689,-23.670445,-46.690643,sao paulo,SP
361,04524,-23.606125,-46.665359,sao paulo,SP
362,03974,-23.613293,-46.484150,sao paulo,SP
363,03967,-23.606139,-46.476631,são paulo,SP
364,03021,-23.535233,-46.600166,sao paulo,SP
365,02765,-23.477494,-46.674305,sao paulo,SP
366,04406,-23.671782,-46.655331,sao paulo,SP
367,04363,-23.648093,-46.668592,sao paulo,SP
368,02514,-23.511517,-46.656208,são paulo,SP
369,04016,-23.585689,-46.637965,sao paulo,SP
370,03639,-23.528634,-46.540201,sao paulo,SP
371,04709,-23.626609,-46.700680,sao paulo,SP
372,03728,-23.501297,-46.510730,sao paulo,SP
373,04785,-23.694849,-46.708541,são paulo,SP
374,02993,-23.454530,-46.735805,são paulo,SP
375,04421,-23.692858,-46.639641,sao paulo,SP
376,03165,-23.559341,-46.588466,sao paulo,SP
377,01504,-23.568551,-46.639911,são paulo,SP
378,04063,-23.605031,-46.653827,sao paulo,SP
379,02675,-23.453494,-46.670315,sao paulo,SP
380,02721,-23.502543,-46.674972,sao paulo,SP
381,03345,-23.573109,-46.562027,sao paulo,SP
382,04863,-23.763716,-46.709946,sao paulo,SP
383,04125,-23.601394,-46.620891,sao paulo,SP
384,03809,-23.489223,-46.476713,sao paulo,SP
385,03805,-23.506565,-46.488481,sao paulo,SP
386,04822,-23.732544,-46.688540,sao paulo,SP
387,04225,-23.601058,-46.585524,sao paulo,SP
388,01413,-23.560061,-46.662214,sao paulo,SP
389,03026,-23.535343,-46.615920,sao paulo,SP
390,02733,-23.493843,-46.694470,são paulo,SP
391,02311,-23.468824,-46.601344,sao paulo,SP
392,01257,-23.543689,-46.688681,sao paulo,SP
393,03317,-23.542251,-46.560167,sao paulo,SP
394,01319,-23.551666,-46.641621,sao paulo,SP
395,04271,-23.590746,-46.617776,sao paulo,SP
396,01526,-23.561927,-46.631557,sao paulo,SP
397,03738,-23.509627,-46.505884,sao paulo,SP
398,04379,-23.660281,-46.656333,são paulo,SP
399,03572,-23.572913,-46.502875,são paulo,SP
400,03125,-23.578447,-46.591860,sao paulo,SP
401,02763,-23.478817,-46.677260,sao paulo,SP
402,01530,-23.569285,-46.630413,sao paulo,SP
403,03162,-23.551682,-46.608389,sao paulo,SP
404,03073,-23.531135,-46.555389,são paulo,SP
405,02034,-23.503008,-46.625966,sao paulo,SP
406,04809,-23.716742,-46.695392,sao paulo,SP
407,04276,-23.600698,-46.613641,sao paulo,SP
408,02322,-23.446824,-46.593296,sao paulo,SP
