payment_key,order_key,payment_type,payment_installments,payment_value
1,75269,credit_card,8,99.33
2,98161,credit_card,1,24.39
3,43930,credit_card,1,65.71
4,64933,credit_card,8,107.78
5,12703,credit_card,2,128.45
6,9432,credit_card,2,96.12
7,77993,credit_card,1,81.16
8,57204,credit_card,3,51.84
9,90162,credit_card,6,341.09
10,26050,boleto,1,51.95
11,42221,credit_card,8,188.73
12,51143,credit_card,1,141.90
13,54659,credit_card,1,75.78
14,15599,credit_card,5,102.66
15,21639,credit_card,4,105.28
16,16687,credit_card,10,157.45
17,7849,credit_card,1,132.04
18,10267,credit_card,1,98.94
19,56185,credit_card,4,244.15
20,32919,credit_card,3,136.71
21,89803,credit_card,4,47.69
22,76166,credit_card,2,170.57
23,85633,credit_card,4,67.50
24,80063,credit_card,10,353.09
25,49021,boleto,1,330.66
26,55503,voucher,1,45.17
27,24866,credit_card,2,541.00
28,74397,credit_card,2,139.22
29,35697,credit_card,2,290.16
30,4167,boleto,1,283.34
31,64398,credit_card,1,13.78
32,75959,credit_card,1,30.28
33,1233,credit_card,1,26.58
34,66612,credit_card,1,89.68
35,45876,credit_card,1,65.09
36,83139,credit_card,1,173.84
37,97577,credit_card,1,103.49
38,50127,credit_card,1,64.03
39,85299,credit_card,3,157.15
40,98019,boleto,1,130.88
41,32173,credit_card,2,47.72
42,90526,credit_card,8,117.74
43,91879,boleto,1,56.60
44,67308,credit_card,1,266.16
45,51040,boleto,1,31.38
46,81326,credit_card,1,121.49
47,32724,credit_card,1,32.00
48,29092,credit_card,5,153.41
49,44657,credit_card,5,65.71
50,7712,credit_card,4,278.22
51,64914,credit_card,4,91.66
52,71994,credit_card,1,132.51
53,53456,credit_card,4,542.66
54,8963,boleto,1,166.04
55,81603,boleto,1,368.98
56,77241,credit_card,2,113.20
57,7668,credit_card,3,99.43
58,8743,credit_card,2,27.35
59,5809,credit_card,4,43.77
60,63871,credit_card,2,68.49
61,81025,credit_card,2,105.53
62,98917,credit_card,8,387.80
63,14430,boleto,1,84.14
64,19638,credit_card,4,210.82
65,40351,boleto,1,90.05
66,36665,credit_card,1,67.88
67,34163,credit_card,2,37.58
68,93677,boleto,1,89.63
69,10457,voucher,1,69.46
70,90787,credit_card,2,78.30
71,40583,voucher,1,50.80
72,23682,credit_card,1,34.00
73,18965,boleto,1,77.10
74,78700,credit_card,5,566.40
75,73721,credit_card,8,402.42
76,70589,voucher,1,57.53
77,98468,credit_card,3,44.01
78,75047,credit_card,3,187.51
79,16165,credit_card,3,77.70
80,45150,credit_card,1,48.68
81,56560,credit_card,1,77.29
82,45545,credit_card,8,117.71
83,91944,credit_card,3,169.34
84,76970,credit_card,1,37.61
85,15321,credit_card,1,13.80
86,19153,debit_card,1,227.12
87,26541,credit_card,3,34.78
88,27437,credit_card,10,342.56
89,24546,credit_card,7,73.34
90,92882,credit_card,4,117.85
91,81006,credit_card,1,48.62
92,19462,credit_card,1,53.99
93,44101,credit_card,1,51.14
94,51350,credit_card,2,121.45
95,33131,credit_card,1,73.34
96,82261,credit_card,10,117.68
97,82969,credit_card,1,56.77
98,9151,credit_card,2,115.59
99,59830,credit_card,6,60.07
100,27457,credit_card,1,27.27
101,4729,boleto,1,32.15
102,3857,credit_card,3,195.71
103,80259,voucher,1,43.12
104,54781,credit_card,1,88.49
105,78663,credit_card,3,34.09
106,45712,credit_card,1,40.99
107,65941,credit_card,3,71.99
108,73226,boleto,1,47.00
109,71777,credit_card,3,81.78
110,4301,credit_card,3,231.45
111,91979,credit_card,7,144.20
112,25502,debit_card,1,35.14
113,50505,credit_card,10,285.79
114,44967,credit_card,2,176.70
115,72940,credit_card,2,27.63
116,11663,credit_card,8,134.56
117,67460,credit_card,4,96.98
118,68480,credit_card,2,110.03
119,77721,credit_card,1,17.78
120,26379,credit_card,1,44.00
121,77147,credit_card,4,110.11
122,2824,voucher,1,22.49
123,77597,credit_card,4,46.63
124,59703,boleto,1,52.21
125,19644,credit_card,2,61.77
126,18500,boleto,1,121.88
127,50393,credit_card,1,75.75
128,16477,credit_card,1,130.22
129,25668,credit_card,3,57.53
130,19701,credit_card,7,76.02
131,51116,boleto,1,90.17
132,66571,credit_card,1,31.00
133,94166,credit_card,10,106.77
134,24269,voucher,1,163.25
135,3106,boleto,1,233.66
136,30046,credit_card,1,163.08
137,76418,credit_card,4,135.93
138,36489,credit_card,1,267.05
139,48769,credit_card,7,186.72
140,52676,voucher,1,30.00
141,42768,credit_card,4,97.28
142,82226,credit_card,1,48.61
143,47266,boleto,1,116.70
144,20839,credit_card,1,41.42
145,64982,boleto,1,42.19
146,64388,credit_card,6,125.53
147,91185,credit_card,5,92.76
148,84991,credit_card,8,348.02
149,58801,credit_card,2,203.30
150,97563,credit_card,3,44.35
151,84670,credit_card,10,116.05
152,69459,boleto,1,85.14
153,6545,credit_card,4,236.66
154,30381,credit_card,4,220.30
155,93643,credit_card,1,180.55
156,93286,boleto,1,45.46
157,45366,boleto,1,26.08
158,59346,credit_card,1,375.74
159,12892,credit_card,5,123.41
160,13065,credit_card,10,379.07
161,37942,credit_card,10,2027.16
162,98703,credit_card,1,45.50
163,66707,credit_card,1,91.17
164,46455,boleto,1,93.26
165,4005,voucher,1,30.00
166,58972,credit_card,10,165.96
167,92452,voucher,1,50.00
168,96701,credit_card,10,1002.73
169,88634,boleto,1,116.56
170,65807,credit_card,2,240.52
171,3620,credit_card,3,33.13
172,40616,credit_card,1,213.90
173,2783,credit_card,8,362.17
174,31679,credit_card,2,88.72
175,87416,credit_card,2,46.85
176,26895,boleto,1,68.54
177,36957,boleto,1,32.62
178,1273,credit_card,8,340.08
179,56971,boleto,1,82.06
180,35233,credit_card,1,40.95
181,12081,credit_card,3,67.01
182,84705,voucher,1,20.00
183,52384,voucher,1,76.90
184,35441,credit_card,4,40.27
185,11244,credit_card,8,242.10
186,82926,boleto,1,207.24
187,46670,credit_card,2,215.56
188,44782,credit_card,1,39.92
189,91003,credit_card,8,156.09
190,28984,credit_card,2,131.50
191,79410,boleto,1,137.73
192,4216,credit_card,1,31.75
193,97307,credit_card,8,348.77
