shipment_key,order_key,warehouse_key,carrier,ship_date,delivery_date,shipping_cost
1,1,1,Dragonfly Express,2017-10-03 20:01:40,2017-10-03 20:37:50,10.82
2,2,3,Correios,2018-07-27 00:22:26,2018-07-29 20:54:27,23.79
3,3,4,RapidAir,2018-08-09 00:52:55,2018-08-13 01:07:55,22.72
4,4,5,RapidAir,2017-11-19 02:01:58,2017-11-22 15:19:07,10.53
5,5,3,Correios,2018-02-16 00:48:54,2018-02-21 15:16:26,29.55
6,6,1,Loggi,2017-07-11 18:05:52,2017-07-14 09:20:32,38.30
7,7,1,Stark Logistics,2017-04-14 10:15:01,2017-04-21 00:15:30,48.34
8,8,2,Correios,2017-05-16 21:11:22,2017-05-17 18:36:18,9.07
9,9,1,Correios,2017-01-26 09:42:23,2017-01-29 14:05:23,43.81
10,10,5,Correios,2017-07-30 10:56:16,2017-08-02 05:19:43,43.55
11,11,1,RapidAir,2017-05-17 13:09:48,2017-05-20 23:48:00,9.33
12,12,3,Loggi,2017-07-16 18:16:05,2017-07-18 14:20:21,29.49
13,13,2,Correios,2018-06-09 20:53:25,2018-06-15 13:51:27,15.13
14,14,2,RapidAir,2018-07-27 19:03:06,2018-08-01 15:48:56,14.42
15,15,3,RapidAir,2018-03-04 09:21:52,2018-03-05 01:32:38,16.18
16,16,4,Correios,2018-06-10 04:47:07,2018-06-13 08:15:46,9.71
17,17,1,Dragonfly Express,2018-01-03 05:38:02,2018-01-03 12:27:23,37.05
18,18,3,RapidAir,2017-12-27 15:04:18,2017-12-27 22:52:22,42.86
19,19,2,Loggi,2017-11-23 17:09:46,2017-11-23 21:24:29,42.66
20,20,2,Dragonfly Express,2017-10-28 11:20:35,2017-11-01 09:26:44,24.58
21,21,1,Dragonfly Express,2017-09-18 16:25:06,2017-09-24 08:24:01,32.20
22,22,2,Loggi,2018-03-16 15:30:21,2018-03-17 13:26:38,5.97
23,23,5,RapidAir,2018-02-05 16:50:52,2018-02-09 17:52:08,5.69
24,24,2,Correios,2018-01-08 11:36:20,2018-01-11 16:20:30,30.42
25,25,3,Stark Logistics,2018-08-09 20:17:28,2018-08-10 10:15:39,46.62
26,26,5,Stark Logistics,2018-02-22 16:30:30,2018-03-01 01:08:10,7.08
27,27,1,Loggi,2018-06-04 11:45:24,2018-06-06 10:47:18,6.70
28,28,1,Loggi,2018-03-14 18:19:26,2018-03-16 03:17:34,48.92
29,29,5,Correios,2018-05-03 11:34:49,2018-05-09 13:07:59,27.09
30,30,4,Stark Logistics,2018-02-26 04:44:40,2018-03-02 23:50:05,44.32
31,31,4,Dragonfly Express,2017-08-10 22:22:31,2017-08-16 15:23:09,30.60
32,32,4,RapidAir,2018-04-18 12:20:30,2018-04-22 15:23:20,46.83
33,33,3,Dragonfly Express,2017-12-14 14:51:15,2017-12-19 05:46:06,14.73
34,34,3,RapidAir,2018-02-06 08:52:31,2018-02-09 01:49:57,37.59
35,35,3,Stark Logistics,2018-07-31 10:42:08,2018-08-02 13:47:37,27.08
36,36,3,Correios,2018-02-20 06:22:48,2018-02-20 20:50:57,26.88
37,37,3,Stark Logistics,2018-02-23 19:44:54,2018-02-28 03:24:50,26.39
38,38,1,RapidAir,2017-08-01 01:02:49,2017-08-04 23:43:41,27.61
39,39,4,Loggi,2018-06-02 23:30:29,2018-06-04 15:50:03,20.40
40,40,4,Stark Logistics,2018-03-29 12:10:29,2018-04-04 04:27:04,16.43
41,41,3,Stark Logistics,2017-05-20 10:52:24,2017-05-27 07:56:12,33.81
42,42,1,Stark Logistics,2017-11-26 09:47:37,2017-11-26 16:07:32,5.13
43,43,1,Stark Logistics,2017-08-05 00:57:58,2017-08-06 08:46:38,10.03
44,44,3,Stark Logistics,2018-08-07 08:17:54,2018-08-12 09:23:16,37.96
45,45,4,Dragonfly Express,2018-06-06 22:59:42,2018-06-07 20:46:26,21.21
46,46,5,RapidAir,2017-05-21 12:40:39,2017-05-24 03:22:10,35.18
47,47,1,Correios,2017-05-17 00:48:34,2017-05-19 11:08:20,37.94
48,48,5,Dragonfly Express,2018-05-18 10:32:33,2018-05-19 19:23:48,27.47
49,49,2,Correios,2018-07-29 15:42:14,2018-08-02 23:06:15,18.00
50,50,3,Stark Logistics,2017-08-12 01:47:03,2017-08-18 18:38:13,18.56
51,51,3,RapidAir,2018-02-03 23:20:05,2018-02-08 15:22:14,11.68
52,52,4,Correios,2018-06-26 19:59:40,2018-07-02 21:50:26,27.20
53,53,4,RapidAir,2018-07-28 00:37:21,2018-07-28 10:01:39,34.76
54,54,3,Dragonfly Express,2017-12-15 12:50:50,2017-12-17 02:14:32,22.61
55,55,5,Correios,2017-09-02 03:46:16,2017-09-04 08:46:42,9.02
56,56,2,RapidAir,2018-06-13 22:42:17,2018-06-15 15:13:28,37.06
57,57,5,Dragonfly Express,2018-06-13 14:46:38,2018-06-16 07:25:10,30.83
58,58,1,Correios,2018-03-10 09:34:34,2018-03-11 09:07:51,14.37
59,59,2,Correios,2017-03-16 00:13:13,2017-03-16 23:17:16,46.03
60,60,5,Dragonfly Express,2017-06-15 03:19:47,2017-06-15 16:18:03,9.52
61,61,1,Loggi,2017-12-03 18:14:28,2017-12-04 10:06:32,34.20
