order_item_key,order_key,product_key,seller_key,price,freight_value
1,85268,25899,3008,58.90,13.29
2,71854,10550,791,239.90,19.93
3,6299,11690,286,199.00,17.87
4,22551,17564,872,12.99,12.79
5,5248,25599,2311,199.90,18.14
6,69450,2942,2238,21.90,12.69
7,98567,24824,1643,19.90,11.85
8,47317,2431,895,810.00,70.75
9,92214,9631,2776,145.95,11.65
10,83216,27256,2454,53.99,11.40
11,47814,8760,937,59.99,8.88
12,27413,29650,3053,45.00,12.98
13,22540,1303,70,74.00,23.32
14,53958,18893,2243,49.90,13.37
15,53958,18893,2243,49.90,13.37
16,46177,15874,1217,99.90,27.65
17,42592,28619,2743,639.00,11.34
18,97104,20709,1902,144.00,8.77
19,99376,8743,1801,99.00,13.71
20,35599,14072,181,25.00,16.11
21,33328,23192,610,47.90,8.88
22,35003,5469,1113,21.99,11.85
23,87049,28022,423,119.99,44.40
24,81479,13342,711,49.00,15.10
25,12055,3405,311,48.90,16.60
26,14035,30273,931,219.90,16.98
27,77724,14102,337,289.00,26.33
28,523,5467,651,109.90,25.51
29,30024,4957,2011,27.90,7.94
30,42299,9882,2642,119.90,17.32
31,91676,12498,1270,397.00,24.65
32,98320,12080,2010,59.90,23.35
33,36266,653,852,21.33,15.10
34,36266,653,852,21.33,15.10
35,36266,653,852,21.33,15.10
36,42418,32623,58,16.50,14.10
37,7813,3359,1382,21.90,15.10
38,91313,31795,1379,39.00,16.11
39,75113,12070,2972,49.75,20.80
40,71320,1765,1570,809.10,44.29
41,21511,13460,2423,99.99,13.72
42,80441,12080,2010,59.90,19.95
43,26977,15244,2522,24.89,17.63
44,26977,15244,2522,24.89,17.63
45,26977,15244,2522,24.89,17.63
46,96458,20364,32,54.00,8.54
47,16139,26599,2783,81.99,13.01
48,2491,25451,70,99.00,13.71
49,42206,25149,2649,18.99,7.78
50,42206,25149,2649,18.99,7.78
51,93406,10920,2850,38.33,16.79
52,21602,24000,70,69.90,18.00
53,61010,26811,2688,195.00,18.21
54,11835,1948,1556,35.90,15.20
55,6584,16393,2122,79.50,21.05
56,12567,5008,1100,29.99,15.10
57,66528,21880,13,109.90,13.21
58,35072,18170,587,74.90,16.49
59,39479,24928,1828,14.95,18.23
60,55679,24046,1148,149.90,43.11
61,40221,31772,1974,19.99,14.10
62,16610,13837,1565,390.00,29.39
63,60617,29506,1281,135.00,21.75
64,62599,15852,1088,104.00,16.43
65,54137,8716,2907,149.00,15.80
66,68933,27593,2293,279.90,13.46
67,86771,2873,2474,44.90,23.22
68,50400,23076,1113,37.99,19.18
69,99042,8437,1565,29.99,15.31
70,9465,10892,2066,120.00,15.59
71,10775,20077,2441,492.75,21.62
72,16061,11740,143,94.90,18.54
73,33771,18409,1326,88.34,21.11
74,68205,29474,2423,199.99,65.56
75,21066,20954,3094,99.90,19.67
76,55633,7706,76,78.00,8.90
77,55633,7706,76,78.00,8.90
78,83778,2156,1902,155.00,14.84
79,2890,23909,2104,249.90,34.23
80,44055,16365,1227,53.98,23.31
81,75760,789,2858,8.99,32.57
82,75760,6104,709,44.90,7.16
83,64889,14993,239,60.60,17.67
84,73379,26416,2707,225.00,67.24
85,85229,30742,638,39.90,15.38
86,55596,27923,1583,76.00,34.07
87,93230,13548,888,159.00,27.19
88,81378,27792,2034,102.90,14.45
89,81378,27792,2034,102.90,14.45
90,77416,28220,2118,63.90,16.89
91,11157,22284,1961,168.80,8.21
92,12842,2187,739,59.90,9.94
93,12842,29056,739,59.90,9.94
94,67195,2466,1279,232.75,28.58
95,3819,14673,270,48.90,18.44
96,91212,27860,70,87.00,12.11
97,69892,12867,2072,131.90,18.54
98,73861,15854,237,19.90,14.10
99,9474,11657,423,136.99,66.04
100,65646,13495,121,399.99,23.64
101,82907,16213,1801,41.00,11.85
102,34190,5839,3017,69.00,18.58
103,34190,5839,3017,69.00,18.58
104,43260,9552,587,169.90,33.33
105,61767,29932,752,119.00,15.28
106,33882,29696,1419,39.90,18.08
107,87283,841,1672,85.00,12.90
108,92876,32099,2658,220.00,8.89
109,56449,1423,2321,277.00,35.74
110,97663,14649,139,66.99,27.75
111,24421,17987,3064,14.00,50.85
112,67517,5012,2410,85.00,17.03
113,67517,5012,2410,85.00,17.03
114,10479,9653,1000,229.00,9.80
115,64547,31665,513,99.90,0.00
